2025-06-02 11:09:04.807371 - ('127.0.0.1', 57832) sent: w
2025-06-02 11:09:05.399047 - ('127.0.0.1', 57832) sent: a
2025-06-02 11:09:05.479425 - ('127.0.0.1', 57832) sent: s
2025-06-02 11:09:05.559450 - ('127.0.0.1', 57832) sent: d
2025-06-02 11:09:07.239977 - ('127.0.0.1', 57832) sent: w
2025-06-02 11:09:07.320206 - ('127.0.0.1', 57832) sent: d
2025-06-02 11:09:07.472374 - ('127.0.0.1', 57832) sent: s
2025-06-02 11:09:07.544685 - ('127.0.0.1', 57832) sent: a
2025-06-02 11:09:08.007756 - ('127.0.0.1', 57832) sent: w
2025-06-02 11:09:08.111355 - ('127.0.0.1', 57832) sent: d
2025-06-02 11:09:08.143843 - ('127.0.0.1', 57832) sent: a
2025-06-02 11:11:48.374490 - ('127.0.0.1', 57851) sent: Hello
2025-06-02 11:11:50.060518 - ('127.0.0.1', 57851) sent: s
2025-06-02 11:12:10.458935 - ('127.0.0.1', 57851) sent: s
2025-06-02 11:12:11.148378 - ('127.0.0.1', 57851) sent: a
2025-06-02 11:12:11.324576 - ('127.0.0.1', 57851) sent: d
2025-06-02 11:12:12.612214 - ('127.0.0.1', 57851) sent: a
2025-06-02 11:12:13.428220 - ('127.0.0.1', 57851) sent: a
2025-06-02 11:12:14.595885 - ('127.0.0.1', 57851) sent: s
2025-06-02 11:12:14.947819 - ('127.0.0.1', 57851) sent: a
2025-06-02 11:12:15.267878 - ('127.0.0.1', 57851) sent: s
2025-06-02 11:12:15.540223 - ('127.0.0.1', 57851) sent: a
2025-06-02 11:12:15.681226 - ('127.0.0.1', 57851) sent: d
2025-06-02 11:12:17.924279 - ('127.0.0.1', 57851) sent: s
2025-06-02 11:12:36.661450 - ('127.0.0.1', 57851) sent: w
2025-06-02 11:12:36.661450 - ('127.0.0.1', 57866) sent: w
2025-06-02 11:12:37.124995 - ('127.0.0.1', 57851) sent: a
2025-06-02 11:12:37.188496 - ('127.0.0.1', 57851) sent: s
2025-06-02 11:12:37.189559 - ('127.0.0.1', 57866) sent: s
2025-06-02 11:12:37.260221 - ('127.0.0.1', 57851) sent: d
2025-06-02 11:12:37.261191 - ('127.0.0.1', 57866) sent: d
2025-06-02 11:13:00.302153 - ('127.0.0.1', 57869) sent: w
2025-06-02 11:13:00.341798 - ('127.0.0.1', 57869) sent: a
2025-06-02 11:13:00.525538 - ('127.0.0.1', 57869) sent: s
2025-06-02 11:13:00.597634 - ('127.0.0.1', 57869) sent: d
2025-06-02 11:13:00.958110 - ('127.0.0.1', 57869) sent: q
